"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185425","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185434","ma3","[don't know]","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185440","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185450","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185457","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185509","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185512","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185518","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185524","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185530","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185536","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185544","ma3","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185552","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185618","ma2","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185626","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185632","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185638","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185644","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185647","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185701","ma2","[don't know]","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185713","ma4","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185734","ma4","[don't know]","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185739","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185752","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185758","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185801","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185805","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185808","ma3","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185818","ma3","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185827","ma4","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185832","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185835","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185845","ma2","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185854","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185857","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185903","ma2","[don't know]","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185906","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185915","ma1","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185918","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185922","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20181012T185928","ma2","ma2","","czhou"
