"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164149","ma3","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164204","ma1","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164207","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164210","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164214","ma2","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164220","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164222","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164225","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164228","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164237","ma4","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164240","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164243","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164245","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164249","ma2","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164251","ma3","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164254","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164257","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164303","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164308","ma4","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164311","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164331","ma3","[don't know]","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164334","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164336","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164340","ma1","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164343","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164345","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164348","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164354","ma3","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164358","ma3","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164400","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164405","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164408","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164411","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164417","ma3","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164419","ma2","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164424","ma4","ma3","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164427","ma4","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma1_bpsqxu_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164429","ma1","ma1","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164439","ma3","ma4","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma4_bpsqxu_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164449","ma4","[don't know]","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma3_bpsqxu_snr-25_012.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164453","ma3","ma2","","qxu"
"/Users/zhaomengxuan/Documents/bubble noise/qxu-zhe_shi_ma_zi/bpsqxu/ma2_bpsqxu_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20181101T164457","ma2","ma1","","qxu"
